<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,04/06/14,00:00,1170.0000000
YNDX,D,05/06/14,00:00,1145.1000000
YNDX,D,06/06/14,00:00,1163.0000000
YNDX,D,09/06/14,00:00,1172.1000000
YNDX,D,10/06/14,00:00,1170.0000000
YNDX,D,11/06/14,00:00,1179.9000000
YNDX,D,16/06/14,00:00,1165.0000000
YNDX,D,17/06/14,00:00,1185.5000000
YNDX,D,18/06/14,00:00,1182.9000000
YNDX,D,19/06/14,00:00,1168.0000000
YNDX,D,20/06/14,00:00,1175.0000000
YNDX,D,23/06/14,00:00,1196.0000000
YNDX,D,24/06/14,00:00,1191.8000000
YNDX,D,25/06/14,00:00,1176.8000000
YNDX,D,26/06/14,00:00,1185.0000000
YNDX,D,27/06/14,00:00,1185.0000000
YNDX,D,30/06/14,00:00,1218.0000000
YNDX,D,01/07/14,00:00,1218.2000000
YNDX,D,02/07/14,00:00,1200.0000000
YNDX,D,03/07/14,00:00,1192.0000000
YNDX,D,04/07/14,00:00,1186.0000000
YNDX,D,07/07/14,00:00,1160.0000000
YNDX,D,08/07/14,00:00,1113.4000000
YNDX,D,09/07/14,00:00,1094.0000000
YNDX,D,10/07/14,00:00,1077.8000000
YNDX,D,11/07/14,00:00,1099.3000000
YNDX,D,14/07/14,00:00,1118.9000000
YNDX,D,15/07/14,00:00,1114.3000000
YNDX,D,16/07/14,00:00,1106.5000000
YNDX,D,17/07/14,00:00,1088.0000000
YNDX,D,18/07/14,00:00,1072.3000000
YNDX,D,21/07/14,00:00,1047.5000000
YNDX,D,22/07/14,00:00,1060.0000000
YNDX,D,23/07/14,00:00,1056.2000000
YNDX,D,24/07/14,00:00,1077.8000000
YNDX,D,25/07/14,00:00,1075.1000000
YNDX,D,28/07/14,00:00,1055.0000000
YNDX,D,29/07/14,00:00,1116.0000000
YNDX,D,30/07/14,00:00,1120.0000000
YNDX,D,31/07/14,00:00,1087.7000000
YNDX,D,01/08/14,00:00,1062.2000000
YNDX,D,04/08/14,00:00,1089.5000000
YNDX,D,05/08/14,00:00,1094.6000000
YNDX,D,06/08/14,00:00,1060.1000000
YNDX,D,07/08/14,00:00,1054.5000000
